acc_pitch,acc_roll,acc_yaw,gyro_pitch,gyro_roll,gyro_yaw,magno_pitch,magno_roll,magno_yaw,y
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.54,10.17,-44.29,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.56,10.16,-44.28,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.55,10.16,-44.28,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.58,10.17,-44.28,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.5,10.17,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.47,10.18,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.48,10.17,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.46,10.19,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.46,10.19,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.48,10.17,-44.29,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.5,10.17,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.5,10.18,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.51,10.17,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.51,10.18,-44.29,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.51,10.17,-44.29,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.5,10.17,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.5,10.17,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.49,10.19,-44.29,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.49,10.19,-44.29,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,12.65,10.22,-44.27,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,12.65,10.22,-44.27,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.66,10.21,-44.27,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.21,-44.27,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.21,-44.27,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,12.65,10.22,-44.27,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,12.67,10.21,-44.27,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,12.66,10.22,-44.27,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,12.66,10.21,-44.27,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.67,10.21,-44.27,2
0.59,0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.22,-44.27,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.21,-44.27,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.21,-44.27,2
